Energy_ID,Track_ID,Danceability,Energy
0,0,0.818,0.705
1,1,0.676,0.703
2,2,0.695,0.923
3,3,0.689,0.739
4,4,0.663,0.694
5,5,0.76,0.891
6,6,0.716,0.897
7,7,0.726,0.815
8,8,0.741,0.913
9,9,0.625,0.877
10,10,0.592,0.767
11,11,0.559,0.345
12,12,0.618,0.938
13,13,0.595,0.717
14,14,0.458,0.795
15,15,0.427,0.9
16,16,0.556,0.913
17,17,0.451,0.97
18,18,0.666,0.936
19,19,0.7,0.742
20,20,0.902,0.72
21,21,0.614,0.574
22,22,0.489,0.692
23,23,0.7,0.758
24,24,0.653,0.826
25,25,0.925,0.659
26,26,0.576,0.807
27,27,0.853,0.776
28,28,0.892,0.631
29,29,0.545,0.64
30,30,0.566,0.834
31,31,0.547,0.394
32,32,0.539,0.828
33,33,0.511,0.972
34,34,0.531,0.583
35,35,0.438,0.687
36,36,0.512,0.86
37,37,0.386,0.996
38,38,0.624,0.876
39,39,0.425,0.972
40,40,0.429,0.661
41,41,0.486,0.617
42,42,0.371,0.268
43,43,0.617,0.635
44,44,0.557,0.442
45,45,0.545,0.675
46,46,0.449,0.585
47,47,0.491,0.693
48,48,0.573,0.711
49,49,0.209,0.417
50,50,0.794,0.811
51,51,0.613,0.697
52,52,0.775,0.585
53,53,0.81,0.793
54,54,0.956,0.795
55,55,0.817,0.716
56,56,0.875,0.475
57,57,0.832,0.659
58,58,0.605,0.687
59,59,0.644,0.664
60,60,0.556,0.864
61,61,0.496,0.863
62,62,0.623,0.93
63,63,0.687,0.793
64,64,0.492,0.969
65,65,0.554,0.978
66,66,0.529,0.967
67,67,0.524,0.939
68,68,0.58,0.702
69,69,0.585,0.972
70,70,0.515,0.43
71,71,0.255,0.393
72,72,0.36,0.501
73,73,0.419,0.383
74,74,0.293,0.276
75,75,0.531,0.61
76,76,0.462,0.832
77,77,0.463,0.229
78,78,0.291,0.767
79,79,0.516,0.342
80,80,0.574,0.913
81,81,0.502,0.89
82,82,0.31,0.7
83,83,0.532,0.767
84,84,0.754,0.759
85,85,0.389,0.873
86,86,0.668,0.906
87,87,0.457,0.904
88,88,0.456,0.863
89,89,0.547,0.931
90,90,0.744,0.766
91,91,0.831,0.868
92,92,0.834,0.699
93,93,0.659,0.628
94,94,0.965,0.485
95,95,0.649,0.931
96,96,0.66,0.942
97,97,0.798,0.629
98,98,0.732,0.716
99,99,0.872,0.789
100,100,0.932,0.457
101,101,0.608,0.756
102,102,0.776,0.711
103,103,0.853,0.981
104,104,0.808,0.535
105,105,0.878,0.821
106,106,0.859,0.905
107,107,0.831,0.921
108,108,0.877,0.854
109,109,0.775,0.719
110,110,0.778,0.547
111,111,0.668,0.802
112,112,0.7,0.709
113,113,0.674,0.628
114,114,0.534,0.87
115,115,0.491,0.588
116,116,0.473,0.592
117,117,0.636,0.888
118,118,0.688,0.734
119,119,0.457,0.823
120,120,0.637,0.678
121,121,0.908,0.669
122,122,0.949,0.661
123,123,0.802,0.755
124,124,0.548,0.847
125,125,0.78,0.768
126,126,0.749,0.925
127,127,0.808,0.745
128,128,0.668,0.824
129,129,0.855,0.954
130,130,0.647,0.822
131,131,0.851,0.819
132,132,0.893,0.745
133,133,0.877,0.56
134,134,0.81,0.733
135,135,0.679,0.516
136,136,0.859,0.563
137,137,0.827,0.571
138,138,0.89,0.46
139,139,0.894,0.404
140,140,0.351,0.296
141,141,0.912,0.774
142,142,0.52,0.761
143,143,0.799,0.539
144,144,0.632,0.686
145,145,0.596,0.552
146,146,0.736,0.449
147,147,0.83,0.585
148,148,0.64,0.647
149,149,0.708,0.648
150,150,0.778,0.632
151,151,0.873,0.695
152,152,0.695,0.636
153,153,0.778,0.824
154,154,0.758,0.871
155,155,0.831,0.868
156,156,0.687,0.361
157,157,0.852,0.773
158,158,0.595,0.461
159,159,0.839,0.403
160,160,0.731,0.675
161,161,0.628,0.744
162,162,0.601,0.92
163,163,0.653,0.718
164,164,0.654,0.875
165,165,0.533,0.858
166,166,0.697,0.691
167,167,0.665,0.678
168,168,0.721,0.632
169,169,0.742,0.617
170,170,0.594,0.749
171,171,0.628,0.69
172,172,0.635,0.713
173,173,0.627,0.849
174,174,0.681,0.648
175,175,0.855,0.912
176,176,0.76,0.803
177,177,0.832,0.608
178,178,0.591,0.785
179,179,0.827,0.788
180,180,0.557,0.54
181,181,0.443,0.403
182,182,0.533,0.376
183,183,0.332,0.179
184,184,0.482,0.849
185,185,0.686,0.127
186,186,0.688,0.435
187,187,0.386,0.607
188,188,0.49,0.715
189,189,0.396,0.338
190,190,0.671,0.939
191,191,0.581,0.963
192,192,0.721,0.802
193,193,0.673,0.758
194,194,0.67,0.855
195,195,0.761,0.933
196,196,0.592,0.935
197,197,0.85,0.631
198,198,0.595,0.912
199,199,0.898,0.677
200,200,0.742,0.882
201,201,0.951,0.6
202,202,0.801,0.764
203,203,0.741,0.824
204,204,0.718,0.776
205,205,0.855,0.674
206,206,0.711,0.761
207,207,0.765,0.666
208,208,0.812,0.712
209,209,0.828,0.588
210,210,0.396,0.293
211,211,0.465,0.27
212,212,0.575,0.236
213,213,0.487,0.382
214,214,0.66,0.748
215,215,0.358,0.387
216,216,0.325,0.715
217,217,0.623,0.537
218,218,0.404,0.266
219,219,0.481,0.733
220,220,0.916,0.844
221,221,0.801,0.91
222,222,0.763,0.85
223,223,0.872,0.723
224,224,0.874,0.63
225,225,0.865,0.665
226,226,0.773,0.54
227,227,0.598,0.732
228,228,0.849,0.904
229,229,0.795,0.852
230,230,0.762,0.861
231,231,0.553,0.652
232,232,0.888,0.632
233,233,0.723,0.732
234,234,0.718,0.768
235,235,0.813,0.732
236,236,0.907,0.695
237,237,0.861,0.48
238,238,0.755,0.531
239,239,0.878,0.786
240,240,0.669,0.634
241,241,0.502,0.786
242,242,0.328,0.622
243,243,0.457,0.906
244,244,0.364,0.752
245,245,0.832,0.43
246,246,0.663,0.688
247,247,0.443,0.623
248,248,0.742,0.617
249,249,0.376,0.841
250,250,0.716,0.512
251,251,0.468,0.779
252,252,0.399,0.787
253,253,0.259,0.437
254,254,0.628,0.698
255,255,0.603,0.615
256,256,0.421,0.791
257,257,0.678,0.744
258,258,0.759,0.636
259,259,0.547,0.814
260,260,0.828,0.492
261,261,0.545,0.67
262,262,0.73,0.487
263,263,0.583,0.947
264,264,0.414,0.161
265,265,0.671,0.71
266,266,0.64,0.649
267,267,0.723,0.49
268,268,0.622,0.54
269,269,0.654,0.336
270,270,0.543,0.87
271,271,0.749,0.491
272,272,0.749,0.748
273,273,0.719,0.922
274,274,0.454,0.788
275,275,0.684,0.675
276,276,0.678,0.727
277,277,0.445,0.949
278,278,0.5,0.554
279,279,0.764,0.626
280,280,0.652,0.259
281,281,0.262,0.137
282,282,0.512,0.339
283,283,0.401,0.381
284,284,0.257,0.338
285,285,0.646,0.204
286,286,0.668,0.26
287,287,0.259,0.473
288,288,0.56,0.434
289,289,0.252,0.118
290,290,0.696,0.793
291,291,0.754,0.763
292,292,0.77,0.787
293,293,0.534,0.855
294,294,0.798,0.62
295,295,0.748,0.841
296,296,0.66,0.942
297,297,0.79,0.764
298,298,0.652,0.855
299,299,0.747,0.833
300,300,0.795,0.8
301,301,0.504,0.904
302,302,0.658,0.783
303,303,0.601,0.532
304,304,0.554,0.315
305,305,0.729,0.844
306,306,0.414,0.428
307,307,0.526,0.925
308,308,0.559,0.473
309,309,0.594,0.935
310,310,0.789,0.858
311,311,0.491,0.956
312,312,0.687,0.793
313,313,0.632,0.924
314,314,0.654,0.75
315,315,0.261,0.852
316,316,0.759,0.678
317,317,0.754,0.631
318,318,0.74,0.574
319,319,0.73,0.576
320,320,0.715,0.62
321,321,0.561,0.52
322,322,0.529,0.673
323,323,0.671,0.658
324,324,0.749,0.63
325,325,0.847,0.733
326,326,0.841,0.358
327,327,0.908,0.546
328,328,0.773,0.701
329,329,0.849,0.424
330,330,0.367,0.665
331,331,0.79,0.647
332,332,0.639,0.628
333,333,0.789,0.858
334,334,0.724,0.573
335,335,0.617,0.717
336,336,0.542,0.466
337,337,0.669,0.419
338,338,0.667,0.747
339,339,0.629,0.696
340,340,0.78,0.877
341,341,0.374,0.727
342,342,0.641,0.593
343,343,0.631,0.683
344,344,0.54,0.367
345,345,0.401,0.499
346,346,0.542,0.665
347,347,0.389,0.443
348,348,0.389,0.71
349,349,0.663,0.579
350,350,0.78,0.689
351,351,0.646,0.77
352,352,0.545,0.641
353,353,0.693,0.887
354,354,0.508,0.72
355,355,0.652,0.749
356,356,0.903,0.519
357,357,0.587,0.299
358,358,0.583,0.621
359,359,0.732,0.899
360,360,0.872,0.681
361,361,0.744,0.868
362,362,0.852,0.797
363,363,0.812,0.855
364,364,0.819,0.741
365,365,0.655,0.797
366,366,0.737,0.86
367,367,0.77,0.804
368,368,0.703,0.909
369,369,0.76,0.9
370,370,0.733,0.685
371,371,0.652,0.631
372,372,0.629,0.692
373,373,0.8,0.658
374,374,0.662,0.515
375,375,0.747,0.497
376,376,0.81,0.655
377,377,0.747,0.494
378,378,0.56,0.707
379,379,0.594,0.679
380,380,0.724,0.443
381,381,0.871,0.815
382,382,0.719,0.753
383,383,0.69,0.58
384,384,0.754,0.778
385,385,0.578,0.634
386,386,0.483,0.492
387,387,0.589,0.642
388,388,0.591,0.785
389,389,0.721,0.637
390,390,0.658,0.783
391,391,0.774,0.838
392,392,0.788,0.844
393,393,0.759,0.699
394,394,0.751,0.834
395,395,0.669,0.843
396,396,0.724,0.695
397,397,0.791,0.733
398,398,0.696,0.734
399,399,0.717,0.587
400,400,0.762,0.766
401,401,0.813,0.56
402,402,0.817,0.672
403,403,0.879,0.703
404,404,0.826,0.764
405,405,0.522,0.697
406,406,0.578,0.634
407,407,0.756,0.689
408,408,0.591,0.785
409,409,0.788,0.814
410,410,0.736,0.727
411,411,0.625,0.839
412,412,0.803,0.779
413,413,0.687,0.781
414,414,0.868,0.764
415,415,0.627,0.768
416,416,0.686,0.722
417,417,0.815,0.757
418,418,0.691,0.894
419,419,0.376,0.43
420,420,0.672,0.322
421,421,0.274,0.144
422,422,0.477,0.6
423,423,0.511,0.475
424,424,0.474,0.82
425,425,0.684,0.481
426,426,0.273,0.227
427,427,0.435,0.391
428,428,0.555,0.692
429,429,0.733,0.69
430,430,0.526,0.606
431,431,0.696,0.454
432,432,0.734,0.846
433,433,0.755,0.578
434,434,0.672,0.82
435,435,0.58,0.66
436,436,0.62,0.62
437,437,0.828,0.726
438,438,0.662,0.693
439,439,0.645,0.534
440,440,0.607,0.735
441,441,0.546,0.529
442,442,0.929,0.7
443,443,0.904,0.723
