Track_ID,Liveness,Valence
0,0.613,0.772
1,0.0463,0.852
2,0.116,0.551
3,0.064,0.578
4,0.0698,0.525
5,0.298,0.966
6,0.325,0.358
7,0.112,0.462
8,0.325,0.643
9,0.672,0.865
10,0.127,0.328
11,0.141,0.458
12,0.167,0.875
13,0.108,0.547
14,0.0756,0.513
15,0.119,0.599
16,0.346,0.73
17,0.102,0.198
18,0.153,0.776
19,0.11,0.197
20,0.0749,0.805
21,0.38,0.755
22,0.315,0.527
23,0.0401,0.889
24,0.131,0.416
25,0.279,0.71
26,0.0512,0.908
27,0.181,0.659
28,0.0235,0.838
29,0.111,0.574
30,0.0625,0.621
31,0.0795,0.17
32,0.154,0.562
33,0.19,0.532
34,0.255,0.207
35,0.42,0.426
36,0.0652,0.258
37,0.116,0.188
38,0.0561,0.453
39,0.239,0.282
40,0.234,0.285
41,0.109,0.417
42,0.104,0.165
43,0.164,0.446
44,0.11,0.213
45,0.209,0.162
46,0.0833,0.212
47,0.325,0.412
48,0.328,0.47
49,0.113,0.124
50,0.101,0.862
51,0.332,0.476
52,0.077,0.518
53,0.072,0.863
54,0.0906,0.841
55,0.358,0.692
56,0.046,0.384
57,0.0753,0.674
58,0.104,0.12
59,0.342,0.53
60,0.209,0.4
61,0.639,0.243
62,0.138,0.287
63,0.582,0.751
64,0.0787,0.538
65,0.0731,0.594
66,0.61,0.596
67,0.623,0.661
68,0.536,0.299
69,0.0707,0.585
70,0.129,0.104
71,0.113,0.118
72,0.172,0.324
73,0.0896,0.35
74,0.167,0.195
75,0.0908,0.199
76,0.0741,0.807
77,0.202,0.135
78,0.0763,0.359
79,0.0857,0.167
80,0.156,0.423
81,0.217,0.259
82,0.0828,0.763
83,0.39,0.755
84,0.101,0.435
85,0.273,0.303
86,0.135,0.507
87,0.396,0.48
88,0.0553,0.532
89,0.278,0.697
90,0.509,0.61
91,0.184,0.483
92,0.131,0.809
93,0.105,0.262
94,0.0655,0.312
95,0.751,0.744
96,0.834,0.543
97,0.324,0.4
98,0.73,0.666
99,0.125,0.646
100,0.0414,0.884
101,0.187,0.55
102,0.234,0.901
103,0.306,0.595
104,0.158,0.848
105,0.183,0.947
106,0.322,0.731
107,0.305,0.795
108,0.144,0.54
109,0.0662,0.712
110,0.132,0.441
111,0.163,0.769
112,0.029,0.624
113,0.0944,0.552
114,0.241,0.462
115,0.0906,0.193
116,0.131,0.292
117,0.147,0.25
118,0.0756,0.46
119,0.108,0.578
120,0.156,0.254
121,0.237,0.662
122,0.0454,0.76
