Performance_ID,Youtube_ID,Likes,Comments
0,0,6220896,169907
1,1,1079128,31003
2,2,282142,7399
3,3,1788577,55229
4,4,6197318,155930
5,5,1844658,72008
6,6,11686,241
7,7,17675,260
8,8,739527,20296
9,9,1386920,39240
10,10,4394471,121452
11,11,1213572,32761
12,12,1740224,32573
13,13,1890900,37069
14,14,3140356,60091
15,15,1272266,37004
16,16,1456622,49461
17,17,784717,20084
18,18,434837,16029
19,19,2094182,56516
20,20,10481678,296745
21,21,5014527,113251
22,22,2523312,42075
23,23,3334710,60552
24,24,2765887,84117
25,25,382791,12038
26,26,2759199,54805
27,27,245935,9008
28,28,612,14
29,29,5729,46
30,30,2828795,81335
31,31,5127599,135946
32,32,293409,1703
33,33,429797,12074
34,34,1781690,46392
35,35,18,1
36,36,274106,667
37,37,473751,46230
38,38,418124,15110
39,39,217109,17225
40,40,4600933,118296
41,41,4370461,261790
42,42,787343,1637
43,43,10282499,270444
44,44,5532787,124357
45,45,3741300,79974
46,46,8497224,343020
47,47,13515772,377666
48,48,8867547,432726
49,49,2962029,114460
50,50,956073,19646
51,51,2707992,110189
52,52,3111505,87115
53,53,956073,19646
54,54,466569,11904
55,55,1329678,70754
56,56,723914,23915
57,57,1115598,37436
58,58,216822,7260
59,59,203063,8957
60,60,10183387,409471
61,61,12341722,550921
62,62,3370635,148741
63,63,226771,9260
64,64,1102031,33750
65,65,2061834,65731
66,66,762715,27609
67,67,1400306,50003
68,68,2197293,96490
69,69,2534190,113567
70,70,4777393,147276
71,71,1274934,40034
72,72,593396,17682
73,73,2133,238
74,74,171322,1669
75,75,125774,4852
76,76,180969,8010
77,77,398951,15400
78,78,146328,6899
79,79,124486,4536
80,80,2039258,44487
81,81,5989128,153047
82,82,5643694,134549
83,83,1348845,26645
84,84,934797,19584
85,85,1067479,29353
86,86,14044,1029
87,87,642344,17673
88,88,1881,240
89,89,119749,2251
90,90,3670416,131565
91,91,1327396,57072
92,92,4899065,180386
93,93,1594576,70720
94,94,5488829,222922
95,95,4746197,133551
96,96,61252,1238
97,97,2094991,73011
98,98,6398855,130819
99,99,242932,38381
100,100,9523245,508425
101,101,7314,386
102,102,6656468,259358
103,103,672624,25952
104,104,2269865,87490
105,105,2254295,89160
106,106,8312571,335112
107,107,3085718,127080
108,108,2515830,94765
109,109,2121502,53821
110,110,6420621,166423
111,111,216805,7540
112,112,1026177,47667
113,113,2554163,78435
114,114,2187945,60960
115,115,1819636,38357
116,116,948515,24233
117,117,146755,5707
118,118,611231,20095
119,119,938718,31361
120,120,5550929,205147
121,121,11469490,341006
122,122,6489755,169037
123,123,950561,35404
124,124,18992,291
125,125,5152714,199113
126,126,12696568,599124
127,127,9287567,398333
128,128,2471743,99418
129,129,11425215,872181
130,130,718507,14157
131,131,88925,2271
132,132,4097957,105475
133,133,560857,16545
134,134,315368,9132
135,135,1081676,36266
136,136,431472,11252
137,137,477302,12628
138,138,63065,75
139,139,433116,13530
140,140,24425840,561909
141,141,418647,7041
