YouTube_ID,Track_ID,Views,Streams
0,0,693555221,1040234854
1,1,72011645,310083733
2,2,8435055,63063467
3,3,211754952,434663559
4,4,618480958,617259738
5,5,259021161,323850327
6,6,451996,10666154
7,7,1010982,159605929
8,8,24459820,42671901
9,9,154761056,191074713
10,10,1018811259,1055738398
11,11,246687714,1061750522
12,12,336635759,866464951
13,13,435121530,613838674
14,14,673528656,732774515
15,15,320871237,860722316
16,16,324228662,550067391
17,17,179005296,367485508
18,18,86637926,301947159
19,19,440037964,385677873
20,20,1682616458,1041736808
21,21,838974650,701248893
22,22,476133463,395155110
23,23,572659065,541728561
24,24,441155628,332175400
25,25,39825951,202477187
26,26,503248572,446003044
27,27,5289821,28529840
28,28,46096,210473579
29,29,291023,160037992
30,30,573553706,
31,31,1209806093,
32,32,20762910,
33,33,107553434,327681785
34,34,426125708,
35,35,524,
36,36,23666398,
37,37,14937918,20061385
38,38,72737062,
39,39,4317758,3905429
40,40,832532409,1483622308
41,41,789581468,1325575712
42,42,73201019,475353044
43,43,2118018686,2030825694
44,44,1082588109,1465980600
45,45,786404613,1021782403
46,46,1665814269,927288329
47,47,1828242112,1049654852
48,48,254655970,883224238
49,49,566239229,1115171056
50,50,32310867,844698895
51,51,432177586,471747761
52,52,606828966,460589724
53,53,32310867,400304719
54,54,38218353,293417547
55,55,121308880,292668007
56,56,77464307,185381876
57,57,195983803,274711166
58,58,23984070,90589464
59,59,30079390,115484456
60,60,1487186392,1444841705
61,61,1928733776,1195213410
62,62,587927093,589294152
63,63,44436981,778880225
64,64,154808291,447287242
65,65,378323695,413355749
66,66,135176149,388331061
67,67,240834555,345142662
68,68,374506972,391929621
69,69,353135986,368132993
70,70,763497849,1101854725
71,71,167847274,379349681
72,72,89246405,382823305
73,73,80290,291096318
74,74,10644157,146857863
75,75,15335499,121688699
76,76,26398730,79367881
77,77,61340263,219867047
78,78,15041854,88945336
79,79,12205514,86388469
80,80,274830901,1143164505
81,81,1224226060,1088388556
82,82,915158054,1182379398
83,83,279117834,802076123
84,84,240908491,526521070
85,85,252038354,296521772
86,86,852728,269837425
87,87,172293392,292026041
88,88,102527,196347993
89,89,18237531,144143014
90,90,638267058,1001227038
91,91,144690551,162685755
92,92,888076529,752091441
93,93,292211575,331578264
94,94,662529115,453923193
95,95,755836314,492130246
96,96,2099141,27908495
97,97,458724349,363930118
98,98,1021503328,869795408
99,99,43226385,18501860
100,100,1300732161,1302677366
101,101,545655,103974637
102,102,905692299,826832314
103,103,84652754,526030670
104,104,301845823,346137424
105,105,349102050,389644450
106,106,978680025,256361972
107,107,504057332,224254298
108,108,436325398,349629692
109,109,343328494,280500270
110,110,1518313784,995490565
111,111,10941241,34361626
112,112,237232986,502735560
113,113,534286492,476783121
114,114,432775314,471672024
115,115,339837769,662431775
116,116,80575503,346097538
117,117,3309247,2790105
118,118,168736063,219363750
119,119,149977268,170002964
120,120,719661717,908006704
121,121,1590485349,1457351902
122,122,777507160,1232567233
123,123,139257221,466021760
124,124,1931315,1548871694
125,125,623027280,799979337
126,126,2539156924,1115478746
127,127,547039623,1072650382
128,128,454015875,357737050
129,129,1727241246,789922926
130,130,128396799,1143833476
131,131,3658044,42006396
132,132,673495248,981287133
133,133,20392451,104603335
134,134,26641550,99934776
135,135,121559320,198332490
136,136,35793144,219355874
137,137,11408003,99577335
138,138,2672481,105629259
139,139,59095041,114177468
140,140,1721382178,2110573779
141,141,25212794,203066841
142,142,129183587,1322057199
143,143,886349984,1290687019
144,144,632400004,1424962511
145,145,860718114,1143264716
146,146,544666810,1221083395
147,147,1381628,586480399
148,148,353454004,1241240312
149,149,243497172,843423744
150,150,252068988,196761853
151,151,189132077,220692224
152,152,460717876,473003231
153,153,1214508056,1164605089
154,154,3463816330,629918488
155,155,144690551,162685755
156,156,151765834,138360843
157,157,2805793003,859799057
158,158,135287306,220084336
159,159,359765,229134152
160,160,102439463,574531280
161,161,111974897,426759364
162,162,20170299,90825980
163,163,206242355,382579404
164,164,68116200,254290993
165,165,117833946,280845476
166,166,449712619,615784555
167,167,15391210,67878913
168,168,35856519,212221697
169,169,19671018,62736773
170,170,2133459242,865695837
171,171,1381668642,765561212
172,172,736730327,418186764
173,173,592005,185931694
174,174,321420163,350576786
175,175,115543124,136025763
176,176,61711565,37382738
177,177,1546036758,479847676
178,178,24706293,89466323
179,179,162725,126333112
180,180,114971785,942898131
181,181,131925109,526788025
182,182,31607772,574936342
183,183,42856675,475131674
184,184,53228361,341963190
185,185,33852949,326733164
186,186,63223118,266426563
187,187,56888766,486111943
188,188,28799448,334903879
189,189,96849734,233382117
190,190,1007596168,777641580
191,191,1405539965,1120973873
192,192,253293371,981156901
193,193,704875181,481224452
194,194,866480662,347393726
195,195,307624507,424022714
196,196,894756316,222056078
197,197,313590021,374912951
198,198,300032949,193172998
199,199,52214351,52166142
200,200,1120854023,851711837
201,201,361314925,590578908
202,202,165860569,122450231
203,203,208573237,381155556
204,204,505918510,266413452
205,205,306887054,49412471
206,206,306887054,51339097
207,207,314611933,176824685
208,208,81787112,47517159
209,209,256405663,336056798
210,210,363854960,642724292
211,211,46348788,293604060
212,212,282465,115786722
213,213,7484414,355940570
214,214,3649438,217996516
215,215,12982178,126445901
216,216,43935538,19601041
217,217,242588704,362889100
218,218,8647838,138978979
219,219,14332854,107417556
220,220,585712131,375955728
221,221,89682,578493150
222,222,84654029,497213287
223,223,14035099,428728611
224,224,1276815,213745248
225,225,306542,411056377
226,226,381061439,243928109
227,227,5434057,211103197
228,228,18949722,178709066
229,229,1002891,117899041
230,230,48725891,172373567
231,231,726601997,1138123751
232,232,242845147,466458137
233,233,14272788,248359900
234,234,70515275,46192225
235,235,237582702,222949118
236,236,202432469,202521145
237,237,31364,82111629
238,238,84170696,124225906
239,239,30994885,
240,240,475532733,433564491
241,241,788318126,1004661276
242,242,764982505,417139141
243,243,351589402,461843097
244,244,180051134,404959319
245,245,524707468,387665450
246,246,11856519,432215037
247,247,7163,205327632
248,248,19671055,62736773
249,249,46104250,238468772
250,250,215540369,644668215
251,251,151276432,731776557
252,252,2581536372,1404231856
253,253,1953769806,1378235205
254,254,1788225602,1538447140
255,255,331492365,411692294
256,256,1261263786,733035056
257,257,1298279,34819346
258,258,106746356,300286185
259,259,50685969,191151662
260,260,41698012,1145814659
261,261,63168341,800258505
262,262,53248522,615384523
263,263,5109177,732367244
264,264,76081765,512338633
265,265,5410145,252302426
266,266,49292398,298619427
267,267,8490005,302893047
268,268,81512369,213673856
269,269,2246595,189357854
270,270,679721429,877774503
271,271,361288115,519184335
272,272,272724820,375576936
273,273,7540645,135342126
274,274,115380254,295039369
275,275,142034489,250065301
276,276,2968673,252601051
277,277,77339439,222521002
278,278,219881780,210743145
279,279,90572907,208513838
280,280,13683856,471405587
281,281,6422826,126469786
282,282,15255986,177473609
283,283,40356494,329370178
284,284,420791,182673374
285,285,1679701,88041370
286,286,135669950,506872698
287,287,14266051,143712745
288,288,45558716,212972149
289,289,43026,42053170
290,290,12850997,107996524
291,291,124255684,547871739
292,292,329901294,481307838
293,293,2192535,18374300
294,294,236818708,980693352
295,295,5891427,117679131
296,296,2099152,27908495
297,297,2182357,38610617
298,298,2087256,32419330
299,299,52275235,782756255
300,300,396909270,1357658479
301,301,170453554,649281620
302,302,15181510,190102352
303,303,129299713,828968108
304,304,1591571,654292280
305,305,87086359,562468940
306,306,155579484,606925181
307,307,19096844,236457156
308,308,17035966,242563343
309,309,57457813,133344222
310,310,374189685,1054470731
311,311,95231588,678424384
312,312,47752493,778880225
313,313,17001975,296375103
314,314,106953199,293182456
315,315,25189646,73726722
316,316,22824654,115228530
317,317,224971063,170592836
318,318,681129,128273029
319,319,7101653,114490460
320,320,17011354,279832635
321,321,3926832,311694937
322,322,12454143,413205085
323,323,5384334,81603704
324,324,24885008,119787835
325,325,24885008,182739405
326,326,213119,100595022
327,327,7706203,107919519
328,328,1111996,87618118
329,329,74244853,501420741
330,330,105206228,578115634
331,331,200458945,720756420
332,332,123256878,543286408
333,333,374189685,1054470731
334,334,47207589,627167330
335,335,432609094,1123296395
336,336,13652003,302891517
337,337,343239,335460654
338,338,101552405,379099876
339,339,323806093,853381478
340,340,562212517,473691093
341,341,157325196,392257514
342,342,1006758,303652374
343,343,130543675,229810217
344,344,375491,268107480
345,345,117161559,235730264
346,346,47486131,189533009
347,347,140665690,172275945
348,348,207911622,106123325
349,349,9656892,127896578
350,350,8893257,354986175
351,351,669084413,836260550
352,352,15896207,116409094
353,353,1230431,276384322
354,354,1357273902,1257746758
355,355,514532529,524847088
356,356,5840552,71933137
357,357,231580933,739180747
358,358,687031207,520085958
359,359,554929045,480726300
360,360,9058435,42618413
361,361,10845,664205050
