movie_name,director_id
The Shawshank Redemption,nm0001104
The Godfather,nm0000338
The Dark Knight,nm0634240
The Godfather Part II,nm0000338
12 Angry Men,nm0001486
Schindler's List,nm0000229
The Lord of the Rings: The Return of the King,nm0001392
Pulp Fiction,nm0000233
The Lord of the Rings: The Fellowship of the Ring,nm0001392
"The Good, the Bad and the Ugly",nm0001466
Forrest Gump,nm0000709
Fight Club,nm0000399
Inception,nm0634240
The Lord of the Rings: The Two Towers,nm0001392
The Empire Strikes Back,nm0449984
The Matrix,nm0905154
Goodfellas,nm0000217
One Flew Over the Cuckoo's Nest,nm0001232
Se7en,nm0000399
Shichinin no samurai,nm0000041
It's a Wonderful Life,nm0001008
The Silence of the Lambs,nm0001129
City of God,nm0576987
Saving Private Ryan,nm0000229
Life Is Beautiful,nm0000905
The Green Mile,nm0001104
Interstellar,nm0634240
Star Wars,nm0000184
Terminator 2: Judgment Day,nm0000116
Back to the Future,nm0000709
Sen to Chihiro no kamikakushi,nm0594503
Psycho,nm0000033
The Pianist,nm0000591
Leon: The Professional,nm0000108
Parasite,nm0094435
The Lion King,nm0021249
Gladiator,nm0000631
American History X,nm0443411
The Usual Suspects,nm0001741
The Departed,nm0000217
The Prestige,nm0634240
Casablanca,nm0002031
Top Gun: Maverick,nm2676052
Whiplash,nm3227090
The Intouchables,nm0619923
Modern Times,nm0000122
Seppuku,nm0462030
Once Upon a Time in the West,nm0001466
Hotaru no haka,nm0847223
Rear Window,nm0000033
Alien,nm0000631
City Lights,nm0000122
Cinema Paradiso,nm0868153
Memento,nm0634240
Apocalypse Now,nm0000338
Raiders of the Lost Ark,nm0000229
Django Unchained,nm0000233
WALL-E,nm0004056
The Lives of Others,nm0003697
Sunset Boulevard,nm0000697
Paths of Glory,nm0000040
The Shining,nm0000040
The Great Dictator,nm0000122
Witness for the Prosecution,nm0000697
Avengers: Infinity War,nm0751577
Aliens,nm0000116
American Beauty,nm0005222
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,nm0000040
Spider-Man: Into the Spider-Verse,nm2130108
The Dark Knight Rises,nm0634240
Oldboy,nm0661791
Joker,nm0680846
Amadeus,nm0001232
Braveheart,nm0000154
Toy Story,nm0005124
Coco,nm0881279
Das Boot,nm0000583
Inglourious Basterds,nm0000233
Mononoke-hime,nm0594503
Avengers: Endgame,nm0751577
Once Upon a Time in America,nm0001466
Good Will Hunting,nm0001814
Requiem for a Dream,nm0004716
Toy Story 3,nm0881279
Kimi no na wa.,nm1396121
Singin' in the Rain,nm0002045
3 Idiots,nm0386246
Star Wars: Episode VI - Return of the Jedi,nm0549658
2001: A Space Odyssey,nm0000040
Eternal Sunshine of the Spotless Mind,nm0327273
Reservoir Dogs,nm0000233
Tengoku to jigoku,nm0000041
Capernaum,nm1701024
Citizen Kane,nm0000080
Lawrence of Arabia,nm0000180
The Hunt,nm0899121
North by Northwest,nm0000033
M,nm0000485
Vertigo,nm0000033
Amelie,nm0000466
A Clockwork Orange,nm0000040
Come and See,nm0459552
Full Metal Jacket,nm0000040
Double Indemnity,nm0000697
The Apartment,nm0000697
Scarface,nm0000361
To Live,nm0000041
The Sting,nm0001351
To Kill a Mockingbird,nm0612322
Taxi Driver,nm0000217
L.A. Confidential,nm0000436
Up,nm0230032
Heat,nm0000520
Hamilton,nm2371802
Metropolis,nm0000485
A Separation,nm1410815
Snatch,nm0005363
Die Hard,nm0001532
Incendies,nm0898288
Indiana Jones and the Last Crusade,nm0000229
Ladri di biciclette,nm0001120
1917,nm0005222
Spider-Man: No Way Home,nm1218281
Taare Zameen Par,nm0451148
Downfall,nm0386570
For a Few Dollars More,nm0001466
Batman Begins,nm0634240
Dangal,nm4318159
The Kid,nm0000122
Some Like It Hot,nm0000697
The Father,nm1725469
All About Eve,nm0000581
Green Book,nm0268380
The Wolf of Wall Street,nm0000217
Everything Everywhere All at Once,nm3453283
Judgment at Nuremberg,nm0006452
Unforgiven,nm0000142
Casino,nm0000217
Ran,nm0000041
Pan's Labyrinth,nm0868219
There Will Be Blood,nm0000759
The Sixth Sense,nm0796117
A Beautiful Mind,nm0000165
Monty Python and the Holy Grail,nm0000416
The Truman Show,nm0001837
Yojimbo,nm0000041
The Treasure of the Sierra Madre,nm0001379
Rashomon,nm0000041
Shutter Island,nm0000217
The Great Escape,nm0836328
Jurassic Park,nm0000229
Kill Bill: Vol. 1,nm0000233
No Country for Old Men,nm0001053
Finding Nemo,nm0004056
The Elephant Man,nm0000186
Raging Bull,nm0000217
Chinatown,nm0000591
Gone with the Wind,nm0281808
V for Vendetta,nm0574625
The Thing,nm0000118
Inside Out,nm0230032
"Lock, Stock and Two Smoking Barrels",nm0005363
Dial M for Murder,nm0000033
The Secret in Their Eyes,nm0002728
The Bridge on the River Kwai,nm0000180
Howl's Moving Castle,nm0594503
"Three Billboards Outside Ebbing, Missouri",nm1732981
Trainspotting,nm0000965
Gran Torino,nm0000142
Warrior,nm0640334
Fargo,nm0001054
My Neighbor Totoro,nm0594503
Prisoners,nm0898288
Million Dollar Baby,nm0000142
The Gold Rush,nm0000122
Blade Runner,nm0000631
Catch Me If You Can,nm0000229
On the Waterfront,nm0001415
The Third Man,nm0715346
Children of Heaven,nm0006498
Ben-Hur,nm0943758
12 Years a Slave,nm2588606
The General,nm0115669
Wild Strawberries,nm0000005
Gone Girl,nm0000399
Before Sunrise,nm0000500
Harry Potter and the Deathly Hallows: Part 2,nm0946734
The Deer Hunter,nm0001047
In the Name of the Father,nm0006487
The Grand Budapest Hotel,nm0027572
Mr. Smith Goes to Washington,nm0001008
The Wages of Fear,nm0167241
Barry Lyndon,nm0000040
Sherlock Jr,nm0000036
Memories of Murder,nm0094435
Room,nm1049433
Klaus,nm0655053
Hacksaw Ridge,nm0000154
The Seventh Seal,nm0000005
Wild Tales,nm1167933
The Big Lebowski,nm0001054
Mad Max: Fury Road,nm0004306
How to Train Your Dragon,nm0213450
Mary and Max.,nm0254178
"Monsters, Inc.",nm0230032
Jaws,nm0000229
The Passion of Christ,nm0003433
Hotel Rwanda,nm0313623
Dead Poets Society,nm0001837
Tokyo Story,nm0654868
Pather Panchali,nm0006249
Rocky,nm0000814
Platoon,nm0000231
Ford v Ferrari,nm0003506
Stand by Me,nm0001661
The Terminator,nm0000116
Spotlight,nm0565336
Rush,nm0000165
Into the Wild,nm0000576
Network,nm0001486
The Wizard of Oz,nm0281808
Logan,nm0003506
Groundhog Day,nm0000601
Ratatouille,nm0083348
Before Sunset,nm0000500
The Exorcist,nm0001243
The Best Years of Our Lives,nm0943758
The Incredibles,nm0083348
To Be or Not to Be,nm0523932
The Grapes of Wrath,nm0000406
Rebecca,nm0000033
The Battle of Algiers,nm0690597
Hachi: A Dog's Tale,nm0002120
Cool Hand Luke,nm0742341
Amores perros,nm0327944
Pirates of the Caribbean: The Curse of the Black Pearl,nm0893659
La haine,nm0440913
The 400 Blows,nm0000076
Persona,nm0000005
Life of Brian,nm0001402
My Father and My Son,nm1463981
Dersu Uzala,nm0000041
It Happened One Night,nm0001008
The Sound of Music,nm0936404
The Handmaiden,nm0661791
Jai Bhim,nm4377096
Aladdin,nm0166256
Gandhi,nm0000277
The Help,nm0853238
Beauty and the Beast,nm0873779
The Matrix,nm0905152
City of God,nm0526199
The Lion King,nm0591450
The Intouchables,nm0865918
Avengers: Infinity War,nm0751648
Spider-Man: Into the Spider-Verse,nm0709056
Coco,nm2937122
Avengers: Endgame,nm0751648
Singin' in the Rain,nm0000037
Up,nm0677037
Taare Zameen Par,nm1244760
Everything Everywhere All at Once,nm3215397
Monty Python and the Holy Grail,nm0001402
No Country for Old Men,nm0001054
Finding Nemo,nm0881279
Gone with the Wind,nm0002030
Inside Out,nm0215455
Fargo,nm0001053
The General,nm0000036
Klaus,nm3582089
The Big Lebowski,nm0001053
How to Train Your Dragon,nm0761498
"Monsters, Inc.",nm0798899
The Wizard of Oz,nm0002030
Ratatouille,nm0684342
Aladdin,nm0615780
Beauty and the Beast,nm0936374
Spider-Man: Into the Spider-Verse,nm0745247
Gone with the Wind,nm0939992
"Monsters, Inc.",nm0881279
The Wizard of Oz,nm0503777
