director_id,director_name
nm0000005,Ingmar Bergman
nm0000033,Alfred Hitchcock
nm0000036,Buster Keaton
nm0000037,Gene Kelly
nm0000040,Stanley Kubrick
nm0000041,Akira Kurosawa
nm0000076,Francois Truffaut
nm0000080,Orson Welles
nm0000108,Luc Besson
nm0000116,James Cameron
nm0000118,John Carpenter
nm0000122,Charles Chaplin
nm0000142,Clint Eastwood
nm0000154,Mel Gibson
nm0000165,Ron Howard
nm0000180,David Lean
nm0000184,George Lucas
nm0000186,David Lynch
nm0000217,Martin Scorsese
nm0000229,Steven Spielberg
nm0000231,Oliver Stone
nm0000233,Quentin Tarantino
nm0000277,Richard Attenborough
nm0000338,Francis Ford Coppola
nm0000361,Brian De Palma
nm0000399,David Fincher
nm0000406,John Ford
nm0000416,Terry Gilliam
nm0000436,Curtis Hanson
nm0000466,Jean Pierre Jeunet
nm0000485,Fritz Lang
nm0000500,Richard Linklater
nm0000520,Michael Mann
nm0000576,Sean Penn
nm0000581,Joseph Mankiewicz
nm0000583,Wolfgang Petersen
nm0000591,Roman Polanski
nm0000601,Harold Ramis
nm0000631,Ridley Scott
nm0000697,Billy Wilder
nm0000709,Robert Zemeckis
nm0000759,Paul Thomas Anderson
nm0000814,John G Avildsen
nm0000905,Roberto Benigni
nm0000965,Danny Boyle
nm0001008,Frank Capra
nm0001047,Michael Cimino
nm0001053,Ethan Coen
nm0001054,Joel Coen
nm0001104,Frank Darabont
nm0001120,Vittorio De Sica
nm0001129,Jonathan Demme
nm0001232,Milos Forman
nm0001243,William Friedkin
nm0001351,George Roy Hill
nm0001379,John Huston
nm0001392,Peter Jackson
nm0001402,Terry Jones
nm0001415,Elia Kazan
nm0001466,Sergio Leone
nm0001486,Sidney Lumet
nm0001532,John McTiernan
nm0001661,Rob Reiner
nm0001741,Bryan Singer
nm0001814,Gus Van Sant
nm0001837,Peter Weir
nm0002030,George Cukor
nm0002031,Michael Curtiz
nm0002045,Stanley Donen
nm0002120,Lasse Hallstrom
nm0002728,Juan Jose Campanella
nm0003433,Carl Theodor Dreyer
nm0003506,James Mangold
nm0003697,Florian Henckel von Donnersmarck
nm0004056,Andrew Stanton
nm0004306,George Miller
nm0004716,Darren Aronofsky
nm0005124,John Lasseter
nm0005222,Sam Mendes
nm0005363,Guy Ritchie
nm0006249,Satyajit Ray
nm0006452,Stanley Kramer
nm0006487,Jim Sheridan
nm0006498,Majid Majidi
nm0021249,Roger Allers
nm0027572,Wes Anderson
nm0083348,Brad Bird
nm0094435,Bong Joon Ho
nm0115669,Clyde Bruckman
nm0166256,Ron Clements
nm0167241,Henri Georges Clouzot
nm0213450,Dean DeBlois
nm0215455,Ronnie Del Carmen
nm0230032,Pete Docter
nm0254178,Adam Elliot
nm0268380,Peter Farrelly
nm0281808,Victor Fleming
nm0313623,Terry George
nm0327273,Michel Gondry
nm0327944,Alejandro G Inarritu
nm0386246,Rajkumar Hirani
nm0386570,Oliver Hirschbiegel
nm0440913,Mathieu Kassovitz
nm0443411,Tony Kaye
nm0449984,Irvin Kershner
nm0451148,Aamir Khan
nm0459552,Elem Klimov
nm0462030,Masaki Kobayashi
nm0503777,Mervyn LeRoy
nm0523932,Ernst Lubitsch
nm0526199,Katia Lund
nm0549658,Richard Marquand
nm0565336,Tom McCarthy
nm0574625,James McTeigue
nm0576987,Fernando Meirelles
nm0591450,Rob Minkoff
nm0594503,Hayao Miyazaki
nm0612322,Robert Mulligan
nm0615780,John Musker
nm0619923,Olivier Nakache
nm0634240,Christopher Nolan
nm0640334,Gavin OConnor
nm0654868,Yasujiro Ozu
nm0655053,Sergio Pablos
nm0661791,Park Chan-wook
nm0677037,Bob Peterson
nm0680846,Todd Phillips
nm0684342,Jan Pinkava
nm0690597,Gillo Pontecorvo
nm0709056,Peter Ramsey
nm0715346,Carol Reed
nm0742341,Stuart Rosenberg
nm0745247,Rodney Rothman
nm0751577,Anthony Russo
nm0751648,Joe Russo
nm0761498,Chris Sanders
nm0796117,M. Night Shyamalan
nm0798899,David Silverman
nm0836328,John Sturges
nm0847223,Isao Takahata
nm0853238,Tate Taylor
nm0865918,Eric Toledano
nm0868153,Giuseppe Tornatore
nm0868219,Guillermo del Toro
nm0873779,Gary Trousdale
nm0881279,Lee Unkrich
nm0893659,Gore Verbinski
nm0898288,Denis Villeneuve
nm0899121,Thomas Vinterberg
nm0905152,Lilly Wachowski
nm0905154,Lana Wachowski
nm0936374,Kirk Wise
nm0936404,Robert Wise
nm0939992,Sam Wood
nm0943758,William Wyler
nm0946734,David Yates
nm1049433,Lenny Abrahamson
nm1167933,Damian Szifron
nm1218281,Jon Watts
nm1244760,Amole Gupte
nm1396121,Makoto Shinkai
nm1410815,Asghar Farhadi
nm1463981,Cagan Irmak
nm1701024,Nadine Labaki
nm1725469,Florian Zeller
nm1732981,Martin McDonagh
nm2130108,Bob Persichetti
nm2371802,Thomas Kail
nm2588606,Steve McQueen
nm2676052,Joseph Kosinski
nm2937122,Adrian Molina
nm3215397,Daniel Scheinert
nm3227090,Damien Chazelle
nm3453283,Dan Kwan
nm3582089,Carlos Martinez Lopez
nm4318159,Nitesh Tiwari
nm4377096,TJ Gnanavel
