rank,movie_name,year,imdb_rating,duration,genre
1,The Shawshank Redemption,1994,9.3,142,Drama
2,The Godfather,1972,9.2,175,Crime
3,The Dark Knight,2008,9,152,Action
4,The Godfather Part II,1974,9,202,Crime
5,12 Angry Men,1957,9,96,Crime
6,Schindler's List,1993,9,195,Biography
7,The Lord of the Rings: The Return of the King,2003,9,201,Action
8,Pulp Fiction,1994,8.9,154,Crime
9,The Lord of the Rings: The Fellowship of the Ring,2001,8.8,178,Action
10,"The Good, the Bad and the Ugly",1966,8.8,161,Adventure
11,Forrest Gump,1994,8.8,142,Drama
12,Fight Club,1999,8.8,139,Drama
13,Inception,2010,8.8,148,Action
14,The Lord of the Rings: The Two Towers,2002,8.8,179,Action
15,The Empire Strikes Back,1980,8.7,124,Action
16,The Matrix,1999,8.7,136,Action
17,Goodfellas,1990,8.7,145,Biography
18,One Flew Over the Cuckoo's Nest,1975,8.7,133,Drama
19,Se7en,1995,8.6,127,Crime
20,Shichinin no samurai,1954,8.6,207,Action
21,It's a Wonderful Life,1946,8.6,130,Drama
22,The Silence of the Lambs,1991,8.6,118,Crime
23,City of God,2002,8.6,130,Crime
24,Saving Private Ryan,1998,8.6,169,Drama
25,Life Is Beautiful,1997,8.6,116,Comedy
26,The Green Mile,1999,8.6,189,Crime
27,Interstellar,2014,8.6,169,Adventure
28,Star Wars,1977,8.6,121,Action
29,Terminator 2: Judgment Day,1991,8.6,137,Action
30,Back to the Future,1985,8.5,116,Adventure
31,Sen to Chihiro no kamikakushi,2001,8.6,125,Animation
32,Psycho,1960,8.5,109,Horror
33,The Pianist,2002,8.5,150,Biography
34,Leon: The Professional,1994,8.5,110,Action
35,Parasite,2019,8.5,132,Comedy
36,The Lion King,1994,8.5,88,Animation
37,Gladiator,2000,8.5,155,Action
38,American History X,1998,8.5,119,Crime
39,The Usual Suspects,1995,8.5,106,Crime
40,The Departed,2006,8.5,151,Crime
41,The Prestige,2006,8.5,130,Drama
42,Casablanca,1942,8.5,102,Drama
43,Top Gun: Maverick,2022,8.6,130,Action
44,Whiplash,2014,8.5,106,Drama
45,The Intouchables,2011,8.5,112,Biography
46,Modern Times,1936,8.5,87,Comedy
47,Seppuku,1962,8.6,133,Action
48,Once Upon a Time in the West,1968,8.5,165,Western
49,Hotaru no haka,1988,8.5,89,Animation
50,Rear Window,1954,8.5,112,Mystery
51,Alien,1979,8.5,117,Horror
52,City Lights,1931,8.5,87,Comedy
53,Cinema Paradiso,1988,8.5,155,Drama
54,Memento,2000,8.4,113,Mystery
55,Apocalypse Now,1979,8.5,147,Drama
56,Raiders of the Lost Ark,1981,8.4,115,Action
57,Django Unchained,2012,8.4,165,Drama
58,WALL-E,2008,8.4,98,Animation
59,The Lives of Others,2006,8.4,137,Drama
60,Sunset Boulevard,1950,8.4,110,Drama
61,Paths of Glory,1957,8.4,88,Drama
62,The Shining,1980,8.4,146,Drama
63,The Great Dictator,1940,8.4,125,Comedy
64,Witness for the Prosecution,1957,8.4,116,Crime
65,Avengers: Infinity War,2018,8.4,149,Action
66,Aliens,1986,8.4,137,Action
67,American Beauty,1999,8.4,122,Drama
68,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,8.4,95,Comedy
69,Spider-Man: Into the Spider-Verse,2018,8.4,117,Animation
70,The Dark Knight Rises,2012,8.4,164,Action
71,Oldboy,2003,8.4,101,Action
72,Joker,2019,8.4,122,Crime
73,Amadeus,1984,8.4,160,Biography
74,Braveheart,1995,8.4,178,Biography
75,Toy Story,1995,8.3,81,Animation
76,Coco,2017,8.4,105,Animation
77,Das Boot,1981,8.4,Nan,Drama
78,Inglourious Basterds,2009,8.3,153,Adventure
79,Mononoke-hime,1997,8.4,134,Animation
80,Avengers: Endgame,2019,8.4,181,Action
81,Once Upon a Time in America,1984,8.3,229,Crime
82,Good Will Hunting,1997,8.3,126,Drama
83,Requiem for a Dream,2000,8.3,102,Drama
84,Toy Story 3,2010,8.3,103,Animation
85,Kimi no na wa.,2016,8.4,106,Animation
86,Singin' in the Rain,1952,8.3,103,Comedy
87,3 Idiots,2009,8.4,170,Comedy
88,Star Wars: Episode VI - Return of the Jedi,1983,8.3,131,Action
89,2001: A Space Odyssey,1968,8.3,149,Adventure
90,Eternal Sunshine of the Spotless Mind,2004,8.3,108,Drama
91,Reservoir Dogs,1992,8.3,99,Crime
92,Tengoku to jigoku,1963,8.4,143,Crime
93,Capernaum,2018,8.4,126,Drama
94,Citizen Kane,1941,8.3,119,Drama
95,Lawrence of Arabia,1962,8.3,218,Adventure
96,The Hunt,2012,8.3,115,Drama
97,North by Northwest,1959,8.3,136,Action
98,M,1931,8.3,117,Crime
99,Vertigo,1958,8.3,128,Mystery
100,Amelie,2001,8.3,122,Comedy
101,A Clockwork Orange,1971,8.3,136,Crime
102,Come and See,1985,8.4,142,Drama
103,Full Metal Jacket,1987,8.3,116,Drama
104,Double Indemnity,1944,8.3,107,Crime
105,The Apartment,1960,8.3,125,Comedy
106,Scarface,1983,8.3,170,Crime
107,To Live,1952,8.3,143,Drama
108,The Sting,1973,8.3,129,Comedy
109,To Kill a Mockingbird,1962,8.3,129,Crime
110,Taxi Driver,1976,8.2,114,Crime
111,L.A. Confidential,1997,8.2,138,Crime
112,Up,2009,8.3,96,Animation
113,Heat,1995,8.3,170,Action
114,Hamilton,2020,8.4,160,Biography
115,Metropolis,1927,8.3,153,Drama
116,A Separation,2011,8.3,123,Drama
117,Snatch,2000,8.3,104,Comedy
118,Die Hard,1988,8.2,132,Action
