movie_name,cast_id
The Kid,nm0000122
The Kid,nm0701012
The Kid,nm0001067
The Kid,nm0588033
The Kid,nm0042317
The Kid,nm0047800
The Kid,nm0048798
Sherlock Jr,nm0000036
Sherlock Jr,nm0570230
Sherlock Jr,nm0444172
Sherlock Jr,nm0175068
Sherlock Jr,nm0186440
Sherlock Jr,nm0175075
Sherlock Jr,nm0204639
The Gold Rush,nm0000122
The Gold Rush,nm0841501
The Gold Rush,nm0615306
The Gold Rush,nm0074788
The Gold Rush,nm0906618
The Gold Rush,nm0354913
The Gold Rush,nm1033900
Metropolis,nm0375609
Metropolis,nm0002154
Metropolis,nm0297054
Metropolis,nm0459030
Metropolis,nm0003248
Metropolis,nm0519765
Metropolis,nm0084430
The General,nm0000036
The General,nm0533045
The General,nm0147070
The General,nm0267650
The General,nm0089162
The General,nm1070961
The General,nm0807667
The Passion of Christ,nm0266029
The Passion of Christ,nm0798564
The Passion of Christ,nm0075551
The Passion of Christ,nm0776914
The Passion of Christ,nm0037625
The Passion of Christ,nm0800302
The Passion of Christ,nm0195956
City Lights,nm0000122
City Lights,nm0156039
City Lights,nm5681967
City Lights,nm0616729
City Lights,nm0305087
City Lights,nm0003424
City Lights,nm0008609
M,nm0000048
M,nm0927145
M,nm0484737
M,nm0921532
M,nm0519765
M,nm0345073
M,nm0323479
It Happened One Night,nm0000022
It Happened One Night,nm0001055
It Happened One Night,nm0175369
It Happened One Night,nm0439850
It Happened One Night,nm0858977
It Happened One Night,nm0002118
It Happened One Night,nm0398446
Modern Times,nm0000122
Modern Times,nm0002104
Modern Times,nm0074788
Modern Times,nm0761866
Modern Times,nm0174682
Modern Times,nm0003424
Modern Times,nm0090008
Gone with the Wind,nm0000022
Gone with the Wind,nm0000046
Gone with the Wind,nm0593775
Gone with the Wind,nm0641966
Gone with the Wind,nm0450810
Gone with the Wind,nm0751946
Gone with the Wind,nm0001660
Mr. Smith Goes to Washington,nm0000071
Mr. Smith Goes to Washington,nm0000795
Mr. Smith Goes to Washington,nm0001647
Mr. Smith Goes to Washington,nm0036427
Mr. Smith Goes to Washington,nm0452128
Mr. Smith Goes to Washington,nm0593775
Mr. Smith Goes to Washington,nm0657874
The Wizard of Oz,nm0000023
The Wizard of Oz,nm0604656
The Wizard of Oz,nm0001961
The Wizard of Oz,nm0481618
The Wizard of Oz,nm0355095
The Wizard of Oz,nm0000992
The Wizard of Oz,nm0002121
The Grapes of Wrath,nm0000020
The Grapes of Wrath,nm0002034
The Grapes of Wrath,nm0001017
The Grapes of Wrath,nm0335788
The Grapes of Wrath,nm0100758
The Grapes of Wrath,nm0801193
The Grapes of Wrath,nm0925713
The Great Dictator,nm0000122
The Great Dictator,nm0002104
The Great Dictator,nm0642988
The Great Dictator,nm0306786
The Great Dictator,nm0199787
The Great Dictator,nm0317970
The Great Dictator,nm0354916
Rebecca,nm0000059
Rebecca,nm0000021
Rebecca,nm0001695
Rebecca,nm0000752
Rebecca,nm0115558
Rebecca,nm0219666
Rebecca,nm0807580
Citizen Kane,nm0000080
Citizen Kane,nm0001072
Citizen Kane,nm0173827
Citizen Kane,nm0001547
Citizen Kane,nm0913095
Citizen Kane,nm0172615
Citizen Kane,nm0762557
Casablanca,nm0000007
Casablanca,nm0000006
Casablanca,nm0002134
Casablanca,nm0001647
Casablanca,nm0891998
Casablanca,nm0002113
Casablanca,nm0000048
To Be or Not to Be,nm0001479
To Be or Not to Be,nm0000912
To Be or Not to Be,nm0821041
To Be or Not to Be,nm0107795
To Be or Not to Be,nm0041172
To Be or Not to Be,nm0725897
To Be or Not to Be,nm0750079
Double Indemnity,nm0534045
Double Indemnity,nm0001766
Double Indemnity,nm0000064
Double Indemnity,nm0056477
Double Indemnity,nm0356004
Double Indemnity,nm0372742
Double Indemnity,nm0694631
The Best Years of Our Lives,nm0001485
The Best Years of Our Lives,nm0000763
The Best Years of Our Lives,nm0545298
The Best Years of Our Lives,nm0942863
The Best Years of Our Lives,nm0562920
The Best Years of Our Lives,nm0640732
The Best Years of Our Lives,nm0005994
It's a Wonderful Life,nm0000071
It's a Wonderful Life,nm0001656
It's a Wonderful Life,nm0000859
It's a Wonderful Life,nm0593775
It's a Wonderful Life,nm0871287
It's a Wonderful Life,nm0094135
It's a Wonderful Life,nm0269709
Ladri di biciclette,nm0536009
Ladri di biciclette,nm0821543
Ladri di biciclette,nm0136794
Ladri di biciclette,nm0022821
Ladri di biciclette,nm0759031
Ladri di biciclette,nm0157058
Ladri di biciclette,nm0031509
The Treasure of the Sierra Madre,nm0000007
The Treasure of the Sierra Madre,nm0404158
The Treasure of the Sierra Madre,nm0392529
The Treasure of the Sierra Madre,nm0071636
The Treasure of the Sierra Madre,nm0533692
The Treasure of the Sierra Madre,nm0066166
The Treasure of the Sierra Madre,nm0815495
The Third Man,nm0000080
The Third Man,nm0001072
The Third Man,nm0885098
The Third Man,nm0002145
The Third Man,nm0405977
The Third Man,nm0222074
The Third Man,nm0690691
All About Eve,nm0000012
All About Eve,nm0000879
All About Eve,nm0001695
All About Eve,nm0002141
All About Eve,nm0581282
All About Eve,nm0549280
All About Eve,nm0711855
Rashomon,nm0001536
Rashomon,nm0477553
Rashomon,nm0605270
Rashomon,nm0793766
Rashomon,nm0156928
Rashomon,nm0879918
Rashomon,nm0393352
Sunset Boulevard,nm0000034
Sunset Boulevard,nm0841797
Sunset Boulevard,nm0002233
Sunset Boulevard,nm0647970
Sunset Boulevard,nm0163939
Sunset Boulevard,nm0332221
Sunset Boulevard,nm0916131
To Live,nm0793766
To Live,nm0437520
To Live,nm0385443
To Live,nm0848984
To Live,nm0156928
To Live,nm0643887
To Live,nm0383091
Singin' in the Rain,nm0000037
Singin' in the Rain,nm0640307
Singin' in the Rain,nm0001666
Singin' in the Rain,nm0353405
Singin' in the Rain,nm0593612
Singin' in the Rain,nm0001998
Singin' in the Rain,nm0288830
The Wages of Fear,nm0598971
The Wages of Fear,nm0889024
The Wages of Fear,nm0886870
The Wages of Fear,nm0525793
The Wages of Fear,nm0167243
The Wages of Fear,nm0875630
The Wages of Fear,nm0603916
Tokyo Story,nm0753479
Tokyo Story,nm0383261
Tokyo Story,nm0945522
Tokyo Story,nm0361697
Tokyo Story,nm0837503
Tokyo Story,nm0594381
Tokyo Story,nm0434593
Dial M for Murder,nm0001537
Dial M for Murder,nm0000038
Dial M for Murder,nm0191950
Dial M for Murder,nm0002369
Dial M for Murder,nm0206060
Dial M for Murder,nm0110063
Dial M for Murder,nm0019996
On the Waterfront,nm0000008
On the Waterfront,nm0001500
On the Waterfront,nm0002011
On the Waterfront,nm0001768
On the Waterfront,nm0377416
On the Waterfront,nm0002063
On the Waterfront,nm0922599
Rear Window,nm0000071
Rear Window,nm0000038
Rear Window,nm0179819
Rear Window,nm0728812
Rear Window,nm0000994
Rear Window,nm0263393
Rear Window,nm0046564
Shichinin no samurai,nm0001536
Shichinin no samurai,nm0793766
Shichinin no samurai,nm0875477
Shichinin no samurai,nm0793616
Shichinin no samurai,nm0297869
Shichinin no samurai,nm0441961
Shichinin no samurai,nm0454087
Pather Panchali,nm0052333
Pather Panchali,nm0052334
Pather Panchali,nm0052343
Pather Panchali,nm0222447
Pather Panchali,nm0201871
Pather Panchali,nm0051846
Pather Panchali,nm0222480
12 Angry Men,nm0000020
12 Angry Men,nm0002011
12 Angry Men,nm0000842
12 Angry Men,nm0275835
12 Angry Men,nm0550855
12 Angry Men,nm0001430
12 Angry Men,nm0083081
The Bridge on the River Kwai,nm0000034
The Bridge on the River Kwai,nm0000027
The Bridge on the River Kwai,nm0370144
The Bridge on the River Kwai,nm0370564
The Bridge on the River Kwai,nm0232019
The Bridge on the River Kwai,nm0395012
The Bridge on the River Kwai,nm0603682
Paths of Glory,nm0000018
Paths of Glory,nm0576127
Paths of Glory,nm0579663
Paths of Glory,nm0534317
Paths of Glory,nm0606998
Paths of Glory,nm0027323
Paths of Glory,nm0877185
The Seventh Seal,nm0001884
The Seventh Seal,nm0085038
The Seventh Seal,nm0252345
The Seventh Seal,nm0691555
The Seventh Seal,nm0000761
The Seventh Seal,nm0318676
The Seventh Seal,nm0361458
Wild Strawberries,nm0803705
Wild Strawberries,nm0000761
Wild Strawberries,nm0862026
Wild Strawberries,nm0085038
Wild Strawberries,nm0454247
Wild Strawberries,nm0839212
Wild Strawberries,nm0084761
Witness for the Prosecution,nm0000061
Witness for the Prosecution,nm0000017
Witness for the Prosecution,nm0001452
Witness for the Prosecution,nm0006471
Witness for the Prosecution,nm0002369
Witness for the Prosecution,nm0199787
Witness for the Prosecution,nm0938052
Vertigo,nm0000071
Vertigo,nm0001571
Vertigo,nm0000895
Vertigo,nm0375738
Vertigo,nm0428216
Vertigo,nm0047450
Vertigo,nm0179289
Ben-Hur,nm0000032
Ben-Hur,nm0370144
Ben-Hur,nm0000963
Ben-Hur,nm0361823
Ben-Hur,nm0341518
Ben-Hur,nm0779549
Ben-Hur,nm0640732
North by Northwest,nm0000026
North by Northwest,nm0001693
North by Northwest,nm0000051
North by Northwest,nm0484829
North by Northwest,nm0001991
North by Northwest,nm0404360
North by Northwest,nm0643211
The 400 Blows,nm0529543
The 400 Blows,nm0753716
The 400 Blows,nm0561158
The 400 Blows,nm0213948
The 400 Blows,nm0280961
The 400 Blows,nm0041756
The 400 Blows,nm0184309
Some Like It Hot,nm0000054
Some Like It Hot,nm0000348
Some Like It Hot,nm0000493
Some Like It Hot,nm0706368
Some Like It Hot,nm0002285
Some Like It Hot,nm0113873
Some Like It Hot,nm0675490
The Apartment,nm0000493
The Apartment,nm0000511
The Apartment,nm0534045
The Apartment,nm0001827
The Apartment,nm0472816
The Apartment,nm0507081
The Apartment,nm0390516
Psycho,nm0000578
Psycho,nm0001463
Psycho,nm0587256
Psycho,nm0001260
Psycho,nm0000842
Psycho,nm0570615
Psycho,nm0643000
Judgment at Nuremberg,nm0000075
Judgment at Nuremberg,nm0000044
Judgment at Nuremberg,nm0001847
Judgment at Nuremberg,nm0000017
Judgment at Nuremberg,nm0001703
Judgment at Nuremberg,nm0000023
Judgment at Nuremberg,nm0001050
Yojimbo,nm0001536
Yojimbo,nm0867391
Yojimbo,nm0619938
Yojimbo,nm0875362
Yojimbo,nm0945222
Yojimbo,nm0441961
Yojimbo,nm0442951
Seppuku,nm0619938
Seppuku,nm0410968
Seppuku,nm0412615
Seppuku,nm0848533
Seppuku,nm0592756
Seppuku,nm0368049
Seppuku,nm0766225
Lawrence of Arabia,nm0000564
Lawrence of Arabia,nm0000027
Lawrence of Arabia,nm0000063
Lawrence of Arabia,nm0370144
Lawrence of Arabia,nm0001725
Lawrence of Arabia,nm0001207
Lawrence of Arabia,nm0703033
To Kill a Mockingbird,nm0000060
To Kill a Mockingbird,nm0576345
To Kill a Mockingbird,nm0653942
To Kill a Mockingbird,nm0614677
To Kill a Mockingbird,nm0925418
To Kill a Mockingbird,nm0676349
To Kill a Mockingbird,nm0262745
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,nm0000634
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,nm0001715
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,nm0001330
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,nm0943978
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,nm0001620
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,nm0119988
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,nm0000469
The Great Escape,nm0000537
The Great Escape,nm0001258
The Great Escape,nm0000277
The Great Escape,nm0000314
The Great Escape,nm0232019
The Great Escape,nm0000587
The Great Escape,nm0000336
Tengoku to jigoku,nm0001536
Tengoku to jigoku,nm0755403
Tengoku to jigoku,nm0619938
Tengoku to jigoku,nm0434593
Tengoku to jigoku,nm0586227
Tengoku to jigoku,nm0454087
Tengoku to jigoku,nm0411146
The Battle of Algiers,nm0352835
The Battle of Algiers,nm0552483
The Battle of Algiers,nm0754272
The Battle of Algiers,nm0449197
The Battle of Algiers,nm0657597
The Battle of Algiers,nm0252678
The Battle of Algiers,nm0069934
For a Few Dollars More,nm0000142
For a Few Dollars More,nm0001812
For a Few Dollars More,nm0002231
For a Few Dollars More,nm0472756
For a Few Dollars More,nm0685559
For a Few Dollars More,nm0001428
For a Few Dollars More,nm8621588
The Sound of Music,nm0000267
The Sound of Music,nm0001626
The Sound of Music,nm0662223
The Sound of Music,nm0370821
The Sound of Music,nm0939931
The Sound of Music,nm0139642
The Sound of Music,nm0579991
"The Good, the Bad and the Ugly",nm0000142
"The Good, the Bad and the Ugly",nm0908919
"The Good, the Bad and the Ugly",nm0001812
"The Good, the Bad and the Ugly",nm0321294
"The Good, the Bad and the Ugly",nm0685559
"The Good, the Bad and the Ugly",nm0711502
"The Good, the Bad and the Ugly",nm0677654
Persona,nm0000761
Persona,nm0880521
Persona,nm0472234
Persona,nm0085038
Persona,nm0512502
Cool Hand Luke,nm0000056
Cool Hand Luke,nm0001421
Cool Hand Luke,nm0001510
Cool Hand Luke,nm0134201
Cool Hand Luke,nm0031398
Cool Hand Luke,nm0238105
Cool Hand Luke,nm0886888
2001: A Space Odyssey,nm0001158
2001: A Space Odyssey,nm0516972
2001: A Space Odyssey,nm0843213
2001: A Space Odyssey,nm0725220
2001: A Space Odyssey,nm0744436
2001: A Space Odyssey,nm0879239
2001: A Space Odyssey,nm0064235
Once Upon a Time in the West,nm0000020
Once Upon a Time in the West,nm0000314
Once Upon a Time in the West,nm0001012
Once Upon a Time in the West,nm0001673
Once Upon a Time in the West,nm0275213
Once Upon a Time in the West,nm0832375
Once Upon a Time in the West,nm0834754
A Clockwork Orange,nm0000532
A Clockwork Orange,nm0535861
A Clockwork Orange,nm0060988
A Clockwork Orange,nm0165049
A Clockwork Orange,nm0166979
A Clockwork Orange,nm0180920
A Clockwork Orange,nm0240268
The Godfather,nm0000008
The Godfather,nm0000199
The Godfather,nm0001001
The Godfather,nm0000473
The Godfather,nm0144710
The Godfather,nm0000380
The Godfather,nm0001330
The Exorcist,nm0000995
The Exorcist,nm0001884
The Exorcist,nm0000304
The Exorcist,nm0002011
The Exorcist,nm0935345
The Exorcist,nm0532290
The Exorcist,nm0588553
The Sting,nm0000056
The Sting,nm0000602
The Sting,nm0001727
The Sting,nm0001164
The Sting,nm0001827
The Sting,nm0107281
The Sting,nm0332390
Chinatown,nm0000197
Chinatown,nm0001159
Chinatown,nm0001379
Chinatown,nm0520164
Chinatown,nm0384916
Chinatown,nm0959022
Chinatown,nm0002663
Dersu Uzala,nm0613364
Dersu Uzala,nm0813272
Dersu Uzala,nm0125730
Dersu Uzala,nm1276196
Dersu Uzala,nm6210352
Dersu Uzala,nm6210353
Dersu Uzala,nm0843102
The Godfather Part II,nm0000199
The Godfather Part II,nm0000134
The Godfather Part II,nm0000380
