movie_id,director_id
tt0111161,nm0001104
tt0068646,nm0000338
tt0468569,nm0634240
tt0071562,nm0000338
tt0050083,nm0001486
tt0108052,nm0000229
tt0167260,nm0001392
tt0110912,nm0000233
tt0120737,nm0001392
tt0060196,nm0001466
tt0109830,nm0000709
tt0137523,nm0000399
tt1375666,nm0634240
tt0167261,nm0001392
tt0080684,nm0449984
tt0133093,nm0905154
tt0099685,nm0000217
tt0073486,nm0001232
tt0114369,nm0000399
tt0047478,nm0000041
tt0038650,nm0001008
tt0102926,nm0001129
tt0317248,nm0576987
tt0120815,nm0000229
tt0118799,nm0000905
tt0120689,nm0001104
tt0816692,nm0634240
tt0076759,nm0000184
tt0103064,nm0000116
tt0088763,nm0000709
tt0245429,nm0594503
tt0054215,nm0000033
tt0253474,nm0000591
tt0110413,nm0000108
tt6751668,nm0094435
tt0110357,nm0021249
tt0172495,nm0000631
tt0120586,nm0443411
tt0114814,nm0001741
tt0407887,nm0000217
tt0482571,nm0634240
tt0034583,nm0002031
tt1745960,nm2676052
tt2582802,nm3227090
tt1675434,nm0619923
tt0027977,nm0000122
tt0056058,nm0462030
tt0064116,nm0001466
tt0095327,nm0847223
tt0047396,nm0000033
tt0078748,nm0000631
tt0021749,nm0000122
tt0095765,nm0868153
tt0209144,nm0634240
tt0078788,nm0000338
tt0082971,nm0000229
tt1853728,nm0000233
tt0910970,nm0004056
tt0405094,nm0003697
tt0043014,nm0000697
tt0050825,nm0000040
tt0081505,nm0000040
tt0032553,nm0000122
tt0051201,nm0000697
tt4154756,nm0751577
tt0090605,nm0000116
tt0169547,nm0005222
tt0057012,nm0000040
tt4633694,nm2130108
tt1345836,nm0634240
tt0364569,nm0661791
tt7286456,nm0680846
tt0086879,nm0001232
tt0112573,nm0000154
tt0114709,nm0005124
tt2380307,nm0881279
tt0082096,nm0000583
tt0361748,nm0000233
tt0119698,nm0594503
tt4154796,nm0751577
tt0087843,nm0001466
tt0119217,nm0001814
tt0180093,nm0004716
tt0435761,nm0881279
tt5311514,nm1396121
tt0045152,nm0002045
tt1187043,nm0386246
tt0086190,nm0549658
tt0062622,nm0000040
tt0338013,nm0327273
tt0105236,nm0000233
tt0057565,nm0000041
tt8267604,nm1701024
tt0033467,nm0000080
tt0056172,nm0000180
tt2106476,nm0899121
tt0053125,nm0000033
tt0022100,nm0000485
tt0052357,nm0000033
tt0211915,nm0000466
tt0066921,nm0000040
tt0091251,nm0459552
tt0093058,nm0000040
tt0036775,nm0000697
tt0053604,nm0000697
tt0086250,nm0000361
tt0044741,nm0000041
tt0070735,nm0001351
tt0056592,nm0612322
tt0075314,nm0000217
tt0119488,nm0000436
tt1049413,nm0230032
tt0113277,nm0000520
tt8503618,nm2371802
tt0017136,nm0000485
tt1832382,nm1410815
tt0208092,nm0005363
tt0095016,nm0001532
tt1255953,nm0898288
tt0097576,nm0000229
tt0040522,nm0001120
tt8579674,nm0005222
tt10872600,nm1218281
tt0986264,nm0451148
tt0363163,nm0386570
tt0059578,nm0001466
tt0372784,nm0634240
tt5074352,nm4318159
tt0012349,nm0000122
tt0053291,nm0000697
tt10272386,nm1725469
tt0042192,nm0000581
tt6966692,nm0268380
tt0993846,nm0000217
tt6710474,nm3453283
tt0055031,nm0006452
tt0105695,nm0000142
tt0112641,nm0000217
tt0089881,nm0000041
tt0457430,nm0868219
tt0469494,nm0000759
tt0167404,nm0796117
tt0268978,nm0000165
tt0071853,nm0000416
tt0120382,nm0001837
tt0055630,nm0000041
tt0040897,nm0001379
tt0042876,nm0000041
tt1130884,nm0000217
tt0057115,nm0836328
tt0107290,nm0000229
tt0266697,nm0000233
tt0477348,nm0001053
tt0266543,nm0004056
tt0080678,nm0000186
tt0081398,nm0000217
tt0071315,nm0000591
tt0031381,nm0281808
tt0434409,nm0574625
tt0084787,nm0000118
tt2096673,nm0230032
tt0120735,nm0005363
tt0046912,nm0000033
tt1305806,nm0002728
tt0050212,nm0000180
tt0347149,nm0594503
tt5027774,nm1732981
tt0117951,nm0000965
tt1205489,nm0000142
tt1291584,nm0640334
tt0116282,nm0001054
tt0096283,nm0594503
tt1392214,nm0898288
tt0405159,nm0000142
tt0015864,nm0000122
tt0083658,nm0000631
tt0264464,nm0000229
tt0047296,nm0001415
tt0041959,nm0715346
tt0118849,nm0006498
tt0052618,nm0943758
tt2024544,nm2588606
tt0017925,nm0115669
tt0050986,nm0000005
tt2267998,nm0000399
tt0112471,nm0000500
tt1201607,nm0946734
tt0077416,nm0001047
tt0107207,nm0006487
tt2278388,nm0027572
tt0031679,nm0001008
tt0046268,nm0167241
tt0072684,nm0000040
tt0015324,nm0000036
tt0353969,nm0094435
tt3170832,nm1049433
tt4729430,nm0655053
tt2119532,nm0000154
tt0050976,nm0000005
tt3011894,nm1167933
tt0118715,nm0001054
tt1392190,nm0004306
tt0892769,nm0213450
tt0978762,nm0254178
tt0198781,nm0230032
tt0073195,nm0000229
tt0019254,nm0003433
tt0395169,nm0313623
tt0097165,nm0001837
tt0046438,nm0654868
tt0048473,nm0006249
tt0075148,nm0000814
tt0091763,nm0000231
tt1950186,nm0003506
tt0092005,nm0001661
tt0088247,nm0000116
tt1895587,nm0565336
tt1979320,nm0000165
tt0758758,nm0000576
tt0074958,nm0001486
tt0032138,nm0281808
tt3315342,nm0003506
tt0107048,nm0000601
tt0382932,nm0083348
tt0381681,nm0000500
tt0070047,nm0001243
tt0036868,nm0943758
tt0317705,nm0083348
tt0035446,nm0523932
tt0032551,nm0000406
tt0032976,nm0000033
tt0058946,nm0690597
tt1028532,nm0002120
tt0061512,nm0742341
tt0245712,nm0327944
tt0325980,nm0893659
tt0113247,nm0440913
tt0053198,nm0000076
tt0060827,nm0000005
tt0079470,nm0001402
tt0476735,nm1463981
tt0071411,nm0000041
tt0025316,nm0001008
tt0059742,nm0936404
tt4016934,nm0661791
tt15097216,nm4377096
tt0103639,nm0166256
tt0083987,nm0000277
tt1454029,nm0853238
tt0101414,nm0873779
tt0133093,nm0905152
tt0317248,nm0526199
tt0110357,nm0591450
tt1675434,nm0865918
tt4154756,nm0751648
tt4633694,nm0709056
tt2380307,nm2937122
tt4154796,nm0751648
tt0045152,nm0000037
tt1049413,nm0677037
tt0986264,nm1244760
tt6710474,nm3215397
tt0071853,nm0001402
tt0477348,nm0001054
tt0266543,nm0881279
tt0031381,nm0002030
tt2096673,nm0215455
tt0116282,nm0001053
tt0017925,nm0000036
tt4729430,nm3582089
tt0118715,nm0001053
tt0892769,nm0761498
tt0198781,nm0798899
tt0032138,nm0002030
tt0382932,nm0684342
tt0103639,nm0615780
tt0101414,nm0936374
tt4633694,nm0745247
tt0031381,nm0939992
tt0198781,nm0881279
tt0032138,nm0503777
