cast_id,cast_name
nm0000006,Ingrid Bergman
nm0000007,Humphrey Bogart
nm0000008,Marlon Brando
nm0000012,Bette Davis
nm0000017,Marlene Dietrich
nm0000018,Kirk Douglas
nm0000020,Henry Fonda
nm0000021,Joan Fontaine
nm0000022,Clark Gable
nm0000023,Judy Garland
nm0000024,John Gielgud
nm0000026,Cary Grant
nm0000027,Alec Guinness
nm0000032,Charlton Heston
nm0000034,William Holden
nm0000036,Buster Keaton
nm0000037,Gene Kelly
nm0000038,Grace Kelly
nm0000044,Burt Lancaster
nm0000046,Vivien Leigh
nm0000048,Peter Lorre
nm0000051,James Mason
nm0000054,Marilyn Monroe
nm0000056,Paul Newman
nm0000059,Laurence Olivier
nm0000060,Gregory Peck
nm0000061,Tyrone Power
nm0000063,Anthony Quinn
nm0000064,Edward G Robinson
nm0000071,James Stewart
nm0000075,Spencer Tracy
nm0000080,Orson Welles
nm0000092,John Cleese
nm0000093,Brad Pitt
nm0000100,Rowan Atkinson
nm0000103,Fairuza Balk
nm0000107,Kim Basinger
nm0000111,Matthew Broderick
nm0000114,Steve Buscemi
nm0000120,Jim Carrey
nm0000122,Charles Chaplin
nm0000124,Jennifer Connelly
nm0000125,Sean Connery
nm0000128,Russell Crowe
nm0000129,Tom Cruise
nm0000130,Jamie Lee Curtis
nm0000134,Robert De Niro
nm0000136,Johnny Depp
nm0000138,Leonardo DiCaprio
nm0000142,Clint Eastwood
nm0000146,Ralph Fiennes
nm0000147,Colin Firth
nm0000148,Harrison Ford
nm0000149,Jodie Foster
nm0000150,Michael J Fox
nm0000151,Morgan Freeman
nm0000152,Richard Gere
nm0000154,Mel Gibson
nm0000155,Whoopi Goldberg
nm0000156,Jeff Goldblum
nm0000157,Linda Hamilton
nm0000158,Tom Hanks
nm0000160,Ethan Hawke
nm0000164,Anthony Hopkins
nm0000168,Samuel L Jackson
nm0000169,Tommy Lee Jones
nm0000172,Harvey Keitel
nm0000174,Val Kilmer
nm0000190,Matthew McConaughey
nm0000191,Ewan McGregor
nm0000194,Julianne Moore
nm0000195,Bill Murray
nm0000197,Jack Nicholson
nm0000198,Gary Oldman
nm0000199,Al Pacino
nm0000200,Bill Paxton
nm0000201,Michelle Pfeiffer
nm0000203,River Phoenix
nm0000204,Natalie Portman
nm0000206,Keanu Reeves
nm0000209,Tim Robbins
nm0000216,Arnold Schwarzenegger
nm0000221,Charlie Sheen
nm0000228,Kevin Spacey
nm0000230,Sylvester Stallone
nm0000232,Sharon Stone
nm0000234,Charlize Theron
nm0000235,Uma Thurman
nm0000236,Jennifer Tilly
nm0000237,John Travolta
nm0000242,Mark Wahlberg
nm0000244,Sigourney Weaver
nm0000245,Robin Williams
nm0000246,Bruce Willis
nm0000249,James Woods
nm0000255,Ben Affleck
nm0000260,Joan Allen
nm0000261,Karen Allen
nm0000267,Julie Andrews
