rank,movie_id,movie_name,year,imdb_rating,duration,genre
1,tt0111161,The Shawshank Redemption,1994,9.3,142,Drama
2,tt0068646,The Godfather,1972,9.2,175,Crime
3,tt0468569,The Dark Knight,2008,9,152,Action
4,tt0071562,The Godfather Part II,1974,9,202,Crime
5,tt0050083,12 Angry Men,1957,9,96,Crime
6,tt0108052,Schindler's List,1993,9,195,Biography
7,tt0167260,The Lord of the Rings: The Return of the King,2003,9,201,Action
8,tt0110912,Pulp Fiction,1994,8.9,154,Crime
9,tt0120737,The Lord of the Rings: The Fellowship of the Ring,2001,8.8,178,Action
10,tt0060196,"The Good, the Bad and the Ugly",1966,8.8,161,Adventure
11,tt0109830,Forrest Gump,1994,8.8,142,Drama
12,tt0137523,Fight Club,1999,8.8,139,Drama
13,tt1375666,Inception,2010,8.8,148,Action
14,tt0167261,The Lord of the Rings: The Two Towers,2002,8.8,179,Action
15,tt0080684,The Empire Strikes Back,1980,8.7,124,Action
16,tt0133093,The Matrix,1999,8.7,136,Action
17,tt0099685,Goodfellas,1990,8.7,145,Biography
18,tt0073486,One Flew Over the Cuckoo's Nest,1975,8.7,133,Drama
19,tt0114369,Se7en,1995,8.6,127,Crime
20,tt0047478,Shichinin no samurai,1954,8.6,207,Action
21,tt0038650,It's a Wonderful Life,1946,8.6,130,Drama
22,tt0102926,The Silence of the Lambs,1991,8.6,118,Crime
23,tt0317248,City of God,2002,8.6,130,Crime
24,tt0120815,Saving Private Ryan,1998,8.6,169,Drama
25,tt0118799,Life Is Beautiful,1997,8.6,116,Comedy
26,tt0120689,The Green Mile,1999,8.6,189,Crime
27,tt0816692,Interstellar,2014,8.6,169,Adventure
28,tt0076759,Star Wars,1977,8.6,121,Action
29,tt0103064,Terminator 2: Judgment Day,1991,8.6,137,Action
30,tt0088763,Back to the Future,1985,8.5,116,Adventure
31,tt0245429,Sen to Chihiro no kamikakushi,2001,8.6,125,Animation
32,tt0054215,Psycho,1960,8.5,109,Horror
33,tt0253474,The Pianist,2002,8.5,150,Biography
34,tt0110413,Leon: The Professional,1994,8.5,110,Action
35,tt6751668,Parasite,2019,8.5,132,Comedy
36,tt0110357,The Lion King,1994,8.5,88,Animation
37,tt0172495,Gladiator,2000,8.5,155,Action
38,tt0120586,American History X,1998,8.5,119,Crime
39,tt0114814,The Usual Suspects,1995,8.5,106,Crime
40,tt0407887,The Departed,2006,8.5,151,Crime
41,tt0482571,The Prestige,2006,8.5,130,Drama
42,tt0034583,Casablanca,1942,8.5,102,Drama
43,tt1745960,Top Gun: Maverick,2022,8.6,130,Action
44,tt2582802,Whiplash,2014,8.5,106,Drama
45,tt1675434,The Intouchables,2011,8.5,112,Biography
46,tt0027977,Modern Times,1936,8.5,87,Comedy
47,tt0056058,Seppuku,1962,8.6,133,Action
48,tt0064116,Once Upon a Time in the West,1968,8.5,165,Western
49,tt0095327,Hotaru no haka,1988,8.5,89,Animation
50,tt0047396,Rear Window,1954,8.5,112,Mystery
51,tt0078748,Alien,1979,8.5,117,Horror
52,tt0021749,City Lights,1931,8.5,87,Comedy
53,tt0095765,Cinema Paradiso,1988,8.5,155,Drama
