movie_id,cast_id
tt0012349,nm0000122
tt0012349,nm0701012
tt0012349,nm0001067
tt0012349,nm0588033
tt0012349,nm0042317
tt0012349,nm0047800
tt0012349,nm0048798
tt0015324,nm0000036
tt0015324,nm0570230
tt0015324,nm0444172
tt0015324,nm0175068
tt0015324,nm0186440
tt0015324,nm0175075
tt0015324,nm0204639
tt0015864,nm0000122
tt0015864,nm0841501
tt0015864,nm0615306
tt0015864,nm0074788
tt0015864,nm0906618
tt0015864,nm0354913
tt0015864,nm1033900
tt0017136,nm0375609
tt0017136,nm0002154
tt0017136,nm0297054
tt0017136,nm0459030
tt0017136,nm0003248
tt0017136,nm0519765
tt0017136,nm0084430
tt0017925,nm0000036
tt0017925,nm0533045
tt0017925,nm0147070
tt0017925,nm0267650
tt0017925,nm0089162
tt0017925,nm1070961
tt0017925,nm0807667
tt0019254,nm0266029
tt0019254,nm0798564
tt0019254,nm0075551
tt0019254,nm0776914
tt0019254,nm0037625
tt0019254,nm0800302
tt0019254,nm0195956
tt0021749,nm0000122
tt0021749,nm0156039
tt0021749,nm5681967
tt0021749,nm0616729
tt0021749,nm0305087
tt0021749,nm0003424
tt0021749,nm0008609
tt0022100,nm0000048
tt0022100,nm0927145
tt0022100,nm0484737
tt0022100,nm0921532
tt0022100,nm0519765
tt0022100,nm0345073
tt0022100,nm0323479
tt0025316,nm0000022
tt0025316,nm0001055
tt0025316,nm0175369
tt0025316,nm0439850
tt0025316,nm0858977
tt0025316,nm0002118
tt0025316,nm0398446
tt0027977,nm0000122
tt0027977,nm0002104
tt0027977,nm0074788
tt0027977,nm0761866
tt0027977,nm0174682
tt0027977,nm0003424
tt0027977,nm0090008
tt0031381,nm0000022
tt0031381,nm0000046
tt0031381,nm0593775
tt0031381,nm0641966
tt0031381,nm0450810
tt0031381,nm0751946
tt0031381,nm0001660
tt0031679,nm0000071
tt0031679,nm0000795
tt0031679,nm0001647
tt0031679,nm0036427
tt0031679,nm0452128
tt0031679,nm0593775
tt0031679,nm0657874
tt0032138,nm0000023
tt0032138,nm0604656
tt0032138,nm0001961
tt0032138,nm0481618
tt0032138,nm0355095
tt0032138,nm0000992
tt0032138,nm0002121
tt0032551,nm0000020
tt0032551,nm0002034
tt0032551,nm0001017
tt0032551,nm0335788
tt0032551,nm0100758
tt0032551,nm0801193
tt0032551,nm0925713
tt0032553,nm0000122
tt0032553,nm0002104
tt0032553,nm0642988
tt0032553,nm0306786
tt0032553,nm0199787
tt0032553,nm0317970
tt0032553,nm0354916
tt0032976,nm0000059
tt0032976,nm0000021
tt0032976,nm0001695
tt0032976,nm0000752
tt0032976,nm0115558
tt0032976,nm0219666
tt0032976,nm0807580
tt0033467,nm0000080
tt0033467,nm0001072
tt0033467,nm0173827
tt0033467,nm0001547
tt0033467,nm0913095
tt0033467,nm0172615
tt0033467,nm0762557
tt0034583,nm0000007
tt0034583,nm0000006
tt0034583,nm0002134
tt0034583,nm0001647
tt0034583,nm0891998
tt0034583,nm0002113
tt0034583,nm0000048
tt0035446,nm0001479
tt0035446,nm0000912
tt0035446,nm0821041
tt0035446,nm0107795
tt0035446,nm0041172
tt0035446,nm0725897
tt0035446,nm0750079
tt0036775,nm0534045
tt0036775,nm0001766
tt0036775,nm0000064
tt0036775,nm0056477
tt0036775,nm0356004
tt0036775,nm0372742
tt0036775,nm0694631
tt0036868,nm0001485
tt0036868,nm0000763
tt0036868,nm0545298
tt0036868,nm0942863
tt0036868,nm0562920
tt0036868,nm0640732
tt0036868,nm0005994
tt0038650,nm0000071
tt0038650,nm0001656
tt0038650,nm0000859
tt0038650,nm0593775
tt0038650,nm0871287
tt0038650,nm0094135
tt0038650,nm0269709
tt0040522,nm0536009
tt0040522,nm0821543
tt0040522,nm0136794
tt0040522,nm0022821
tt0040522,nm0759031
tt0040522,nm0157058
tt0040522,nm0031509
tt0040897,nm0000007
tt0040897,nm0404158
tt0040897,nm0392529
tt0040897,nm0071636
tt0040897,nm0533692
tt0040897,nm0066166
tt0040897,nm0815495
tt0041959,nm0000080
tt0041959,nm0001072
tt0041959,nm0885098
tt0041959,nm0002145
tt0041959,nm0405977
tt0041959,nm0222074
tt0041959,nm0690691
tt0042192,nm0000012
tt0042192,nm0000879
tt0042192,nm0001695
tt0042192,nm0002141
tt0042192,nm0581282
tt0042192,nm0549280
tt0042192,nm0711855
tt0042876,nm0001536
tt0042876,nm0477553
tt0042876,nm0605270
tt0042876,nm0793766
tt0042876,nm0156928
tt0042876,nm0879918
tt0042876,nm0393352
tt0043014,nm0000034
tt0043014,nm0841797
tt0043014,nm0002233
tt0043014,nm0647970
tt0043014,nm0163939
tt0043014,nm0332221
tt0043014,nm0916131
tt0044741,nm0793766
tt0044741,nm0437520
tt0044741,nm0385443
tt0044741,nm0848984
tt0044741,nm0156928
tt0044741,nm0643887
tt0044741,nm0383091
tt0045152,nm0000037
tt0045152,nm0640307
tt0045152,nm0001666
tt0045152,nm0353405
tt0045152,nm0593612
tt0045152,nm0001998
tt0045152,nm0288830
tt0046268,nm0598971
tt0046268,nm0889024
tt0046268,nm0886870
tt0046268,nm0525793
tt0046268,nm0167243
tt0046268,nm0875630
tt0046268,nm0603916
tt0046438,nm0753479
tt0046438,nm0383261
tt0046438,nm0945522
tt0046438,nm0361697
tt0046438,nm0837503
tt0046438,nm0594381
tt0046438,nm0434593
tt0046912,nm0001537
tt0046912,nm0000038
tt0046912,nm0191950
tt0046912,nm0002369
tt0046912,nm0206060
tt0046912,nm0110063
tt0046912,nm0019996
tt0047296,nm0000008
tt0047296,nm0001500
tt0047296,nm0002011
tt0047296,nm0001768
tt0047296,nm0377416
tt0047296,nm0002063
tt0047296,nm0922599
tt0047396,nm0000071
tt0047396,nm0000038
tt0047396,nm0179819
tt0047396,nm0728812
tt0047396,nm0000994
tt0047396,nm0263393
tt0047396,nm0046564
tt0047478,nm0001536
tt0047478,nm0793766
tt0047478,nm0875477
tt0047478,nm0793616
tt0047478,nm0297869
tt0047478,nm0441961
tt0047478,nm0454087
tt0048473,nm0052333
tt0048473,nm0052334
tt0048473,nm0052343
tt0048473,nm0222447
tt0048473,nm0201871
tt0048473,nm0051846
tt0048473,nm0222480
tt0050083,nm0000020
tt0050083,nm0002011
tt0050083,nm0000842
tt0050083,nm0275835
tt0050083,nm0550855
tt0050083,nm0001430
tt0050083,nm0083081
tt0050212,nm0000034
tt0050212,nm0000027
tt0050212,nm0370144
tt0050212,nm0370564
tt0050212,nm0232019
tt0050212,nm0395012
tt0050212,nm0603682
tt0050825,nm0000018
tt0050825,nm0576127
tt0050825,nm0579663
tt0050825,nm0534317
tt0050825,nm0606998
tt0050825,nm0027323
tt0050825,nm0877185
tt0050976,nm0001884
tt0050976,nm0085038
tt0050976,nm0252345
tt0050976,nm0691555
tt0050976,nm0000761
tt0050976,nm0318676
tt0050976,nm0361458
tt0050986,nm0803705
tt0050986,nm0000761
tt0050986,nm0862026
tt0050986,nm0085038
tt0050986,nm0454247
tt0050986,nm0839212
tt0050986,nm0084761
tt0051201,nm0000061
tt0051201,nm0000017
tt0051201,nm0001452
tt0051201,nm0006471
tt0051201,nm0002369
tt0051201,nm0199787
tt0051201,nm0938052
tt0052357,nm0000071
tt0052357,nm0001571
tt0052357,nm0000895
tt0052357,nm0375738
tt0052357,nm0428216
tt0052357,nm0047450
tt0052357,nm0179289
tt0052618,nm0000032
tt0052618,nm0370144
tt0052618,nm0000963
tt0052618,nm0361823
tt0052618,nm0341518
tt0052618,nm0779549
tt0052618,nm0640732
tt0053125,nm0000026
tt0053125,nm0001693
tt0053125,nm0000051
tt0053125,nm0484829
tt0053125,nm0001991
tt0053125,nm0404360
tt0053125,nm0643211
